# File Summary
File Type: SureSelect DNA Design Report
Created By: SureSelect DNA Probegroup Wizard
User: Suzanne.Drury@gosh.nhs.uk
Workgroup: GOSH-Regional Molecular Genetics
Folder: GOSH-Regional Molecular Genetics
Timestamp: 16-Dec-2014

# Design Summary
Probegroup Name: NIPD - HBB SNPs Max stringency
Species: H. sapiens (H. sapiens, hg19, GRCh37, February 2009)

# Target Summary
75 Target IDs resolved to 75 targets comprising 75 regions.
0 Target IDs were not found.
Region Size: 1.575 kbp

# Probe Summary
Total Probes: 416
Total Probes Size: 14.880 kbp
Recommended Minimum Sequencing per Sample: 2.976 Mbp

# Target Parameters
Databases: RefSeq, Ensembl, CCDS, Gencode, VEGA, SNP, CytoBand
Region: Coding Exons
Region Extension: 10 bases from 3' end and 10 bases from 5' end.
Allow Synonyms: No

# Probe Tiling Parameters
Tiling density: 5x
Masking: Most Stringent
Boosting: MaximizePerformance
Extension into repeats: 20
Strand: Sense

# Target and Probe Details
#    TargetID: The identifier entered in the Targets list.
#    Interval: The genomic interval of the target.
#    Regions: The number of regions within this target.
#    Size: The total size (in base pairs) of the regions.
#    Database(s): The databases in which this target was found.
#    Coverage: The percentage of bases overlapped by probes extended by +/- 100 base pairs to represent likely capture.
#    HighCoverage: Number of regions with overlap >= 90%.
#    LowCoverage: Number of regions with overlap < 90%.

TargetID	Interval	Regions	Size	Databases	Coverage	HighCoverage	LowCoverage
rs1455965	chr11:5090171-5090191	1	21	SNP	100.0	1	0
rs1472453	chr11:5446464-5446484	1	21	SNP	100.0	1	0
rs1498553	chr11:5709018-5709038	1	21	SNP	100.0	1	0
rs1840178	chr11:5968718-5968738	1	21	SNP	100.0	1	0
rs1867133	chr11:4205946-4205966	1	21	SNP	100.0	1	0
rs2030094	chr11:5474828-5474848	1	21	SNP	100.0	1	0
rs2048092	chr11:6629520-6629540	1	21	SNP	100.0	1	0
rs2099875	chr11:4173163-4173183	1	21	SNP	100.0	1	0
rs2105819	chr11:5259717-5259737	1	21	SNP	100.0	1	0
rs2231970	chr11:4623269-4623289	1	21	SNP	100.0	1	0
rs2250886	chr11:6529632-6529652	1	21	SNP	100.0	1	0
rs2555154	chr11:6524546-6524566	1	21	SNP	100.0	1	0
rs2555175	chr11:6627521-6627541	1	21	SNP	100.0	1	0
rs2596002	chr11:4961991-4962011	1	21	SNP	100.0	1	0
rs2659869	chr11:6655322-6655342	1	21	SNP	100.0	1	0
rs2709182	chr11:4566701-4566721	1	21	SNP	100.0	1	0
rs2723620	chr11:6523647-6523667	1	21	SNP	100.0	1	0
rs317781	chr11:5528167-5528187	1	21	SNP	100.0	1	0
rs325630	chr11:6193439-6193459	1	21	SNP	100.0	1	0
rs3750944	chr11:6239334-6239354	1	21	SNP	100.0	1	0
rs4144717	chr11:5091872-5091892	1	21	SNP	100.0	1	0
rs4328189	chr11:6054541-6054561	1	21	SNP	100.0	1	0
rs4370913	chr11:6070004-6070024	1	21	SNP	100.0	1	0
rs4474429	chr11:4671673-4671693	1	21	SNP	100.0	1	0
rs4604857	chr11:6324954-6324974	1	21	SNP	100.0	1	0
rs4758108	chr11:6532014-6532034	1	21	SNP	100.0	1	0
rs4758290	chr11:5992205-5992225	1	21	SNP	100.0	1	0
rs4758422	chr11:6531985-6532005	1	21	SNP	100.0	1	0
rs4910629	chr11:4590362-4590382	1	21	SNP	100.0	1	0
rs4910736	chr11:5258979-5258999	1	21	SNP	100.0	1	0
rs4910773	chr11:5389762-5389782	1	21	SNP	100.0	1	0
rs5015541	chr11:6070452-6070472	1	21	SNP	100.0	1	0
rs5024041	chr11:5373636-5373656	1	21	SNP	100.0	1	0
rs6578454	chr11:4173374-4173394	1	21	SNP	100.0	1	0
rs6578489	chr11:4391429-4391449	1	21	SNP	100.0	1	0
rs6578550	chr11:5095248-5095268	1	21	SNP	100.0	1	0
rs6578598	chr11:5319198-5319218	1	21	SNP	100.0	1	0
rs6578668	chr11:5646894-5646914	1	21	SNP	100.0	1	0
rs7108470	chr11:5625593-5625613	1	21	SNP	100.0	1	0
rs7116499	chr11:5383920-5383940	1	21	SNP	100.0	1	0
rs7120894	chr11:5472725-5472745	1	21	SNP	100.0	1	0
rs7127767	chr11:5702089-5702109	1	21	SNP	100.0	1	0
rs7933860	chr11:5748212-5748232	1	21	SNP	100.0	1	0
rs7934096	chr11:5748386-5748406	1	21	SNP	100.0	1	0
rs7935470	chr11:5230292-5230312	1	21	SNP	100.0	1	0
rs7937180	chr11:4667683-4667703	1	21	SNP	100.0	1	0
rs7938426	chr11:5471822-5471842	1	21	SNP	100.0	1	0
rs7941398	chr11:4390813-4390833	1	21	SNP	100.0	1	0
rs7943486	chr11:4624384-4624404	1	21	SNP	100.0	1	0
rs7948471	chr11:5471736-5471756	1	21	SNP	100.0	1	0
rs870727	chr11:5618884-5618904	1	21	SNP	100.0	1	0
rs934460	chr11:5535172-5535192	1	21	SNP	100.0	1	0
rs962199	chr11:3854755-3854775	1	21	SNP	100.0	1	0
rs979942	chr11:4185585-4185605	1	21	SNP	100.0	1	0
